date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-15,ATL,MIA,239.14,107.2,107.585514761,104.302648669,-3.28286609214,106.581681814,102.870135641,-3.71154617351
2016-11-15,BRK,LAL,234.296666667,100.416666667,102.861045114,110.659290497,7.79824538364,108.982637383,107.988318932,-0.994318450524
2016-11-15,CHI,POR,203.92,89.75,105.62965869,108.068760488,2.43910179848,104.438899589,109.599716633,5.16081704455
2016-11-15,CHO,MIN,247.8415,105.95,102.597829661,115.42318218,12.8253525188,106.653175522,110.974840537,4.32166501553
2016-11-15,CLE,TOR,211.6055,103.566666667,117.463865542,110.774647687,-6.68921785554,115.551730165,107.960658949,-7.59107121617
2016-11-15,LAL,BRK,238.787,110.1,110.659290497,102.861045114,-7.79824538364,107.988318932,108.982637383,0.994318450524
2016-11-15,MIA,ATL,182.469,79.3,104.302648669,107.585514761,3.28286609214,102.870135641,106.581681814,3.71154617351
2016-11-15,MIN,CHO,225.881833333,108.633333333,115.42318218,102.597829661,-12.8253525188,110.974840537,106.653175522,-4.32166501553
2016-11-15,POR,CHI,258.724166667,116.5,108.068760488,105.62965869,-2.43910179848,109.599716633,104.438899589,-5.16081704455
2016-11-15,TOR,CLE,234.024666667,108.016666667,110.774647687,117.463865542,6.68921785554,107.960658949,115.551730165,7.59107121617
2016-11-16,ATL,MIL,187.51,87.25,111.674044051,98.4149491807,-13.2590948702,112.050411351,96.6723868673,-15.3780244833
2016-11-16,BOS,DAL,245.105666667,108.533333333,106.272532799,91.9737524361,-14.2987803627,106.873979112,92.5306622183,-14.3433168938
2016-11-16,CLE,IND,161.609,73.05,108.4840572,97.8466017559,-10.6374554439,103.734211763,98.6362146056,-5.09799715784
2016-11-16,DAL,BOS,279.645,107.166666667,91.9737524361,106.272532799,14.2987803627,92.5306622183,106.873979112,14.3433168938
2016-11-16,DEN,PHO,235.11,99.4166666667,101.484411552,107.523029488,6.03861793561,99.2243435588,105.718420119,6.49407655982
2016-11-16,DET,NYK,243.8745,101.25,99.641413924,103.85132844,4.20991451636,98.6753137898,105.533685567,6.85837177713
2016-11-16,GSW,TOR,218.965,109.5,120.019181148,107.250643807,-12.7685373408,118.687746032,106.14814078,-12.5396052517
2016-11-16,HOU,OKC,222.046,99.4,107.437197698,105.220908333,-2.2162893647,108.962190683,109.252085835,0.289895151475
2016-11-16,IND,CLE,276.8415,112.866666667,97.8466017559,108.4840572,10.6374554439,98.6362146056,103.734211763,5.09799715784
2016-11-16,LAC,MEM,231.304166667,110.5,114.654225136,104.398050659,-10.2561744776,113.058700379,102.891610722,-10.1670896564
2016-11-16,MEM,LAC,221.613333333,96.4,104.398050659,114.654225136,10.2561744776,102.891610722,113.058700379,10.1670896564
2016-11-16,MIL,ATL,271.747333333,111.433333333,98.4149491807,111.674044051,13.2590948702,96.6723868673,112.050411351,15.3780244833
2016-11-16,NOP,ORL,209.365,73.7,84.4840350584,90.5528950805,6.06886002215,83.9457243603,91.2344527326,7.28872837231
2016-11-16,NYK,DET,228.5575,98.9,103.85132844,99.641413924,-4.20991451636,105.533685567,98.6753137898,-6.85837177713
2016-11-16,OKC,HOU,242.9175,106.5,105.220908333,107.437197698,2.2162893647,109.252085835,108.962190683,-0.289895151475
2016-11-16,ORL,NOP,234.294,88.4,90.5528950805,84.4840350584,-6.06886002215,91.2344527326,83.9457243603,-7.28872837231
2016-11-16,PHI,WAS,227.146,80.4,84.9497679906,102.001416686,17.0516486957,86.3958250027,99.0737482682,12.6779232655
2016-11-16,PHO,DEN,262.381,117.55,107.523029488,101.484411552,-6.03861793561,105.718420119,99.2243435588,-6.49407655982
2016-11-16,SAC,SAS,218.16,96.8,106.490649065,102.373223523,-4.11742554143,104.133750926,103.517478082,-0.616272843973
2016-11-16,SAS,SAC,232.482666667,99.1666666667,102.373223523,106.490649065,4.11742554143,103.517478082,104.133750926,0.616272843973
